id,institution_name,institution_address,outbreak_setting,type_of_outbreak,causative_agent_1,causative_agent_2,date_outbreak_began,date_declared_over,active
191,St. George Care Community,225 St. George St,LTCH,Respiratory,COVID-19,NA,2023-11-26,2023-12-27,N
192,Sunnybrook Health Sciences Centre - St. John's Rehab - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-26,2023-12-04,N
193,UHN - Toronto Rehabilitation Institute - Bickel Centre - 8 South,550 University Ave,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),NA,2023-11-26,2023-12-07,N
194,Baycrest Hospital - North York - H3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-25,2023-12-02,N
195,Cheltenham Care Community - 3rd Fl (North),5935 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-11-25,2023-12-11,N
196,Baycrest Hospital - North York - H5E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-24,2023-12-08,N
197,Baycrest Hospital - North York - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-24,2023-12-09,N
198,Baycrest Hospital - North York - H7W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-24,2023-12-12,N
199,Castleview Wychwood Towers - 2nd Fl,351 Christie St,LTCH,Respiratory,COVID-19,NA,2023-11-24,NA,Y
200,Greenview Lodge,880 Lawrence Avenue,Retirement Home,Respiratory,COVID-19,NA,2023-11-24,2023-12-13,N
201,Kipling Acres - 1st Fl (Humber) & 2nd Fl (Elms),2233 Kipling Ave,LTCH,Respiratory,COVID-19,NA,2023-11-24,2023-12-06,N
202,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,NA,2023-11-24,2023-12-19,N
203,Lakeside Long Term Care Centre - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Pending,NA,2023-11-24,NA,Y
204,Mon Sheong Home for the Aged - 4th Fl,36 D'Arcy St,LTCH,Respiratory,COVID-19,NA,2023-11-24,2023-12-18,N
205,New Horizons Tower - 4th Fl,1140 Bloor St W,LTCH,Respiratory,Coronavirus*,NA,2023-11-24,2023-12-01,N
206,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2023-11-24,2023-12-02,N
207,Toronto East Health Network - AHF - Atrium at Kew Beach - 3rd Fl East Wing,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-24,2023-12-08,N
208,Unity Health Toronto - St. Michael's - 14CG (Observation Unit Only),30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-24,2023-12-05,N
209,Harold and Grace Baker Centre - 1A,1 Northwestern Ave,LTCH,Respiratory,Unable to identify,NA,2023-11-23,2023-12-07,N
210,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South,2030 Mcnicoll Ave,Retirement Home,Respiratory,COVID-19,NA,2023-11-23,2023-12-04,N
211,Tony Stacey Centre for Veterans' Care - 2nd Fl,59 Lawson Rd,LTCH,Respiratory,COVID-19,NA,2023-11-23,2023-12-04,N
212,Toronto East Health Network - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-23,2023-12-11,N
213,Baycrest Hospital - H6E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-22,2023-12-01,N
214,Extendicare Bayview - 1st Fl,550 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-11-22,2023-11-30,N
215,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-22,2023-11-28,N
216,University Health Network - 5 South,550 University Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-22,2023-11-29,N
217,Amica On The Avenue,1066 Avenue Rd,Retirement Home,Enteric,Unable to identify,NA,2023-11-21,2023-11-27,N
218,Cedarvale Terrace - 4th Fl,429 Walmer Rd,LTCH,Respiratory,COVID-19,NA,2023-11-21,2023-12-15,N
219,Cummer Lodge - North York - 1st Fl (SCU) & 3rd Fl (3N),205 Cummer Ave,LTCH,Respiratory,COVID-19,NA,2023-11-21,2023-12-12,N
220,Southlake Regional Health Centre - RCC Finch - 5 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-21,2023-12-16,N
221,The Millwood,921 Millwood Rd,Retirement Home,Respiratory,COVID-19,NA,2023-11-21,2023-12-13,N
222,Unity Health Toronto - Providence - D3,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-21,2023-11-29,N
223,Baycrest Hospital - 6RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-11-20,2023-11-30,N
224,Centre For Addiction and Mental Health - Unit 1 & 2,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,NA,2023-11-20,2023-11-26,N
225,Deerwood Creek Care Community - 3rd Fl (3A & 3B),70 Humberline Dr,LTCH,Respiratory,COVID-19,NA,2023-11-20,2023-11-27,N
226,Donway Place,8 The Donway E,LTCH,Respiratory,COVID-19,NA,2023-11-20,2023-12-12,N
227,Midland Gardens Care Community - 4th Fl,130 Midland Ave,LTCH,Respiratory,COVID-19,NA,2023-11-20,2023-12-13,N
228,New Horizons Tower,1140 Bloor St W,Retirement Home,Respiratory,COVID-19,NA,2023-11-20,2024-01-01,N
229,Trillium Health Partners - McCall Centre For Continuing Care - 3rd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza,Rhinovirus,2023-11-20,2023-11-30,N
230,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-20,2023-12-05,N
231,Unity Health Toronto - St. Joseph's - 5M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-20,2023-11-27,N
232,"Nisbet Lodge - 4th, 8th, 10th & 11th Fl",740 Pape Ave,LTCH,Respiratory,COVID-19,NA,2023-11-19,2023-12-07,N
233,Sts. Peter and Paul Residence - Ground Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,NA,2023-11-18,2023-11-30,N
234,Villa Colombo Homes for the Aged - 2 Fusco,40 Playfair Ave,LTCH,Respiratory,COVID-19,NA,2023-11-18,2023-11-30,N
235,Bendale Acres - 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-11-17,2023-11-28,N
236,Extendicare Scarborough - Scarborough - 1 North,3830 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-11-17,2023-11-28,N
237,Ina Grafton Gage Home - Scarborough - 1st Fl Memory Unit,40 Bell Estate Rd,LTCH,Respiratory,COVID-19,NA,2023-11-17,2023-11-29,N
238,Toronto East Health Network - 1st Fl East,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-17,2023-12-08,N
239,University Health Network - Bickle Centre -  5A & 5B North,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-17,2023-11-25,N
240,University Health Network - Bickle Centre - S4,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-17,2023-12-05,N
241,University Health Network - Lyndhurst - 1A,520 Sutherland Drive,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-17,2023-12-01,N
242,Bayshore - 5th & 6th Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,NA,2023-11-16,2023-11-29,N
243,Unity Health Toronto - St. Joseph's - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-16,2023-12-01,N
244,Hellenic Home - Ground & 2A,2411 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-11-15,2023-11-30,N
245,Unity Health Toronto - St. Joseph's - 2E,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-15,2023-11-24,N
246,Cedarbrook Lodge TCU - Transitional Care Unit - 6th Fl,520 Markham Rd,Transitional Care,Respiratory,COVID-19,NA,2023-11-14,2023-12-04,N
247,Craiglee Nursing Home - 1 West & 3 East,102 Craiglee Dr,LTCH,Respiratory,COVID-19,NA,2023-11-14,2023-11-24,N
248,"Fieldstone Commons Care Community - Scarborough - 2A, 2B, 3A & 3B",1000 Ellesmere Rd,LTCH,Respiratory,COVID-19,NA,2023-11-14,2023-12-07,N
249,Kennedy Lodge - 2 South,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,NA,2023-11-14,2023-12-04,N
250,Unity Health Toronto - Providence - Adult Day Program,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-14,2023-11-24,N
251,Cedarbrook Lodge Retirement Residence - 3rd & 5th Fl,520 Markham Rd,Retirement Home,Respiratory,COVID-19,NA,2023-11-13,2023-12-11,N
252,Centennial Park Place - 1st Fl,25 Centennial Park Rd,Retirement Home,Respiratory,COVID-19,NA,2023-11-13,2023-11-27,N
253,Centre for Addiction and Mental Health - Queen Street Site - Unit 1-4,1001 Queen St West,Hospital-Psychiatric,Respiratory,COVID-19,NA,2023-11-13,2023-11-30,N
254,Chartwell Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,COVID-19,NA,2023-11-13,NA,Y
255,Craiglee Nursing Home - 2nd Fl,102 Craiglee Dr,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-11-13,2023-12-22,N
256,Leaside Retirement Residence - 5th & 6th Fl,10 -14 William Morgan Drive,LTCH,Respiratory,COVID-19,NA,2023-11-13,2023-12-20,N
257,Rose of Sharon Korean Long Term Care - 4th & 5th Fl,17 Maplewood Ave,LTCH,Respiratory,COVID-19,NA,2023-11-13,2023-12-04,N
258,Southlake Regional Health Centre - RCC Finch - 6 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-13,2023-11-30,N
259,The Briton House,700 & 720 Mount Pleasant Rd,Retirement Home,Respiratory,COVID-19,NA,2023-11-13,2023-12-01,N
260,The Village Of Humber Heights - Weston Neighbourhood,2245 Lawrence Ave W,LTCH,Respiratory,Unable to identify,NA,2023-11-13,2023-11-27,N
261,Toronto East Health Network - AHF - 2nd Fl West,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-13,2023-11-24,N
262,Baycrest Hospital - 5 West,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-12,2023-11-23,N
263,The Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-11-12,2023-11-27,N
264,The Jewish Home for the Aged - 3RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-11-12,2023-11-25,N
265,Nisbet Lodge - 8th Fl,740 Pape Ave,LTCH,Respiratory,COVID-19,NA,2023-11-11,2023-11-20,N
266,The Kensington Gardens - 1 East,25 Brunswick Ave,LTCH,Respiratory,COVID-19,NA,2023-11-11,2023-11-22,N
267,Humber Valley - 2nd Fl,95 Humber College Blvd,LTCH,Respiratory,Rhinovirus,NA,2023-11-10,2023-11-24,N
268,The Kensington Gardens - 2E (North Building),45 Brunswick Ave,LTCH,Respiratory,COVID-19,NA,2023-11-09,NA,Y
269,Unity Health Toronto - Providence - A5,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-09,2023-11-17,N
270,Belmont House - 2WW,55 Belmont St,LTCH,Respiratory,Unable to identify,NA,2023-11-08,2023-11-23,N
271,Lakeshore Lodge - 2 South & 4 South,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,NA,2023-11-08,2023-11-30,N
272,Chartwell Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,NA,2023-11-07,2023-11-20,N
273,North York General Hospital - General Site - 3N,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-07,2023-11-17,N
274,Scarborough Health Network - Scarborough General - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-07,2023-12-05,N
275,The O'Neill Centre - 3rd & 4th Fl,33 Christie St,LTCH,Respiratory,COVID-19,NA,2023-11-07,2023-11-24,N
276,Unity Health Toronto - Providence - B5,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-07,2023-11-19,N
277,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-07,2023-11-29,N
278,Canterbury Place Retirement Residence - 14th & 17th Fl,1 Canterbury Pl,Retirement Home,Respiratory,COVID-19,NA,2023-11-06,2023-11-24,N
279,Chartwell Grenadier Retirement Residence - Unit A2,2100 Bloor St W,LTCH,Respiratory,COVID-19,NA,2023-11-06,2023-11-13,N
280,Extendicare Rouge Valley - Clark House Unit & 1st Fl,551 Conlins Rd,LTCH,Respiratory,COVID-19,NA,2023-11-06,2023-12-06,N
281,Lakeside Long Term Care Home,150 Dunn Ave,LTCH,Respiratory,Influenza A (Not subtyped),NA,2023-11-06,2023-11-24,N
282,Seven Oaks - 2nd & 3rd Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,NA,2023-11-06,2023-11-27,N
283,The Wexford - 7th Fl,1860 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-11-06,2023-11-20,N
284,University Health Network - Bickle Centre - N3 TCU,130 Dunn Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-06,2023-11-30,N
285,Villa Colombo - 4 Fusco & 1 Fidani,40 Playfair Ave,LTCH,Respiratory,Parainfluenza,NA,2023-11-06,2023-11-22,N
286,"Yee Hong Centre - Scarborough Finch - 3rd, 5th & 6th Fl",60 Scottfield Dr,LTCH,Respiratory,COVID-19,NA,2023-11-06,2023-11-22,N
287,Toronto East Health Network - Michael Garron Hospital - A2,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-05,2023-11-13,N
288,Sunnybrook Health Sciences Centre - Bayview Campus - D6,2075 Bayview Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-11-04,2023-11-13,N
289,Belmont House - 2WW & 3WW,55 Belmont St,LTCH,Respiratory,COVID-19,NA,2023-11-03,2023-11-20,N
290,Chartwell Gibson Long Term Care Residence - 4th Fl,1955 Steeles Ave E,LTCH,Respiratory,Pending,NA,2023-11-03,NA,Y
291,Harmony Hills Care Community - 3B,1800 O'Connor,LTCH,Respiratory,Unable to identify,NA,2023-11-03,2023-11-20,N
292,The Jewish Home for the Aged - 2RF,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-11-03,2023-11-10,N
293,Humber Meadows Long Term Care Home,2109 Finch Ave W,LTCH,Respiratory,COVID-19,NA,2023-11-02,2023-12-12,N
294,Sinai Health System - Mount Sinai Hospital - NICU,600 University Ave,Hospital-Acute Care,Other,Group B Streptococcal disease (neonatal),NA,2023-11-02,NA,Y
295,Sts. Peter and Paul Residence - 3rd Fl,221 Milner Ave,Retirement Home,Respiratory,COVID-19,NA,2023-11-02,2023-11-10,N
296,The Millwood - 4th Fl,921 Millwood Rd,LTCH,Respiratory,COVID-19,NA,2023-11-02,2023-11-13,N
297,Unity Health Toronto - Houses of Providence - Hop 1W - Balsam & Maple,3276 St Clair Ave E,LTCH,Respiratory,COVID-19,NA,2023-11-02,2023-11-09,N
298,Kensington Place Retirement Residence - 4th & 6th Fl,866 Sheppard Ave,Retirement Home,Respiratory,COVID-19,NA,2023-11-01,2023-11-14,N
299,McCall Centre Long Term Care Interim Unit - LTC Unit,140 Sherway Drive,LTCH,Respiratory,COVID-19,NA,2023-11-01,2023-11-13,N
300,Mon Sheong Home for the Aged - 5th Fl,36 D'Arcy St,LTCH,Respiratory,Unable to identify,NA,2023-11-01,2023-11-09,N
301,Rockcliffe Care Community - Ground & 2nd Fl,3015 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-11-01,2023-11-11,N
302,Sunnybrook Health Sciences - RCC Church - A3S,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-11-01,2023-11-09,N
303,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,NA,2023-11-01,2023-11-15,N
304,The Annex,123 Spadina Rd,Retirement Home,Respiratory,COVID-19,NA,2023-11-01,2023-11-20,N
305,The Russell Hill Retirement Residence - 6th & 7th Fl,262 St. Clair Ave W,Retirement Home,Respiratory,COVID-19,NA,2023-11-01,2023-11-09,N
306,Amica Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,COVID-19,NA,2023-10-31,2023-11-24,N
307,Chartwell Avondale Retirement Residence - 2nd Fl,1238 Queen St,Retirement Home,Respiratory,COVID-19,NA,2023-10-31,2023-11-20,N
308,"Chester Village - 2E, 3W & 4E",3555 Danforth Ave,LTCH,Respiratory,COVID-19,NA,2023-10-31,2023-12-01,N
309,Norwood Nursing Home,122 Tyndall Ave,LTCH,Respiratory,COVID-19,NA,2023-10-31,2023-11-20,N
310,Villa Colombo Homes for the Aged - 4 Fidani,40 Playfair Ave,LTCH,Respiratory,COVID-19,NA,2023-10-31,2023-11-12,N
311,Westside LTC - 3rd Fl,1145 Albion Rd,LTCH,Respiratory,Influenza A (Not subtyped),NA,2023-10-31,2023-11-14,N
312,Belmont House,55 Belmont St,Retirement Home,Respiratory,COVID-19,NA,2023-10-30,2023-11-20,N
313,Bendale Acres - 6th Fl,2920 Lawrence Ave E,LTCH,Respiratory,COVID-19,NA,2023-10-30,2023-11-16,N
314,Fountain View Care Community - 1st Fl - Terrace Home Area,1800 O'Connor Dr,LTCH,Respiratory,Parainfluenza,Rhinovirus,2023-10-30,2023-11-16,N
315,Harmony Hills Care Community,1800 O'Connor Drive,LTCH,Respiratory,COVID-19,NA,2023-10-30,2023-11-28,N
316,"McCowan Retirement Residence - 2nd, 4th & 5th Fl",2881 Eglinton Ave E,Retirement Home,Respiratory,COVID-19,NA,2023-10-30,2023-11-27,N
317,The Village of Humber Heights,2245 Lawrence Ave W,LTCH,Respiratory,COVID-19,NA,2023-10-30,2023-11-30,N
318,University Health Network - Toronto Western - 8A,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-10-30,2023-11-06,N
319,Baycrest Hospital - 4 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-10-27,2023-11-06,N
320,Fountain View Care Community - 2nd Fl Breezeway & Lakeside,1800 O'Connor Dr,LTCH,Respiratory,COVID-19,NA,2023-10-27,2023-11-24,N
321,"Humber Valley - Unit 1, 3rd Fl",95 Humber College Blvd,LTCH,Respiratory,Rhinovirus,NA,2023-10-27,2023-11-14,N
322,Mon Sheong Scarborough Long Term Care Centre - Ground Fl South,2030 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2023-10-27,2023-11-13,N
323,North York General Hospital - General Site - 5W,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-10-27,2023-11-07,N
324,Rayoak Place - South-East & North-West Wing,1340 York Mills Rd,Retirement Home,Respiratory,COVID-19,NA,2023-10-27,2023-11-09,N
325,The Jewish Home for the Aged - 3GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-10-27,2023-11-04,N
326,Toronto East Health Network - Michael Garron Hospital - A3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-10-27,2023-11-05,N
327,William Osler Health System - RCC Church - RCU - WOHS Unit,200 Church St,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-10-27,2023-11-06,N
328,Chartwell Grenadier Retirement Residence - Unit A3,2100 Bloor St W,Retirement Home,Respiratory,COVID-19,NA,2023-10-26,2023-11-03,N
329,Chartwell Westbury Long Term Care Residence - 8th Fl,495 The West Mall,LTCH,Respiratory,COVID-19,NA,2023-10-26,2023-11-06,N
330,Tapestry at Village Gate West - 2nd & 9th Fl,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,NA,2023-10-26,2023-11-02,N
331,Weston Gardens Retirement Residence,303 Queens Dr,Retirement Home,Respiratory,COVID-19,NA,2023-10-26,2023-11-30,N
332,Chartwell Avondale Retirement Residence - 2nd & 4th Fl,1238 Queen St,Retirement Home,Respiratory,COVID-19,NA,2023-10-25,2023-11-02,N
333,Kennedy Lodge - 3 South,1400 Kennedy Rd,LTCH,Respiratory,COVID-19,NA,2023-10-25,2023-11-06,N
334,Delmanor Prince Edward,4180 Dundas St W,Retirement Home,Respiratory,COVID-19,NA,2023-10-24,2023-11-10,N
335,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,COVID-19,NA,2023-10-24,2023-11-17,N
336,Unity Health Toronto - St. Joseph's - 4LM,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-10-24,2023-10-30,N
337,Cummer Lodge - 2N & 4S,205 Cummer Ave,LTCH,Respiratory,COVID-19,NA,2023-10-23,2023-11-19,N
338,Leaside Retirement Residence - 3rd & 6th Fl Building 10,10 -14 William Morgan Drive,Retirement Home,Respiratory,COVID-19,NA,2023-10-23,2023-11-08,N
339,Seven Oaks - 4th Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,NA,2023-10-23,2023-11-04,N
340,Sherbourne Place - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,COVID-19,NA,2023-10-23,2023-11-27,N
341,The Jewish Home for the Aged - 2GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-10-23,2023-10-31,N
342,True Davidson Acres - 1st Fl,200 Dawes Rd,LTCH,Respiratory,COVID-19,NA,2023-10-23,2023-11-13,N
343,University Health Network - Toronto Western - 4B,399 Bathurst St,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-10-23,2023-11-11,N
344,University Health Network - Transitional Care Program - Queens Estate - 6th Fl,265 Queens Dr,Transitional Care,Respiratory,COVID-19,NA,2023-10-23,2023-10-28,N
345,Chartwell Gibson Long Term Care Residence - 3rd Fl,1925 Steeles Ave E,LTCH,Respiratory,Influenza A (H1N1),NA,2023-10-22,2023-10-31,N
346,Lakeshore Lodge - 4th Fl,3197 Lakeshore Blvd W,LTCH,Respiratory,COVID-19,NA,2023-10-22,2023-10-30,N
347,Shepherd Lodge - 5th Fl,3760 Sheppard Ave East,LTCH,Respiratory,COVID-19,NA,2023-10-22,2023-11-07,N
348,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,COVID-19,NA,2023-10-21,2023-11-08,N
349,"Hawthorne Place Care Centre - 1 Maple Lane, 3 Lily Way & 3 Pine Lane Unit",2045 Finch Ave W,LTCH,Respiratory,COVID-19,NA,2023-10-20,2023-11-15,N
350,North York General Hospital - General Site - 5SE,4001 Leslie St,Hospital-Acute Care,Respiratory,COVID-19,NA,2023-10-20,2023-11-02,N
351,Yee Hong Centre - Scarborough Finch - 2nd Fl,60 Scottfield Dr,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-10-20,2023-11-16,N
352,Yee Hong Centre - Scarborough McNicoll - Ground Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,NA,2023-10-20,2023-11-20,N
353,Bethseda Home,67 Belgreen Ave,Retirement Home,Respiratory,COVID-19,NA,2023-10-19,2023-10-24,N
354,Chartwell Trilogy - 4th & 7th Fl,340 McCowan Rd,LTCH,Respiratory,Respiratory syncytial virus,NA,2023-10-19,2023-11-01,N
355,Chartwell Trilogy Long Term Care Residence - 4th & 7th Fl,340 McCowan Rd,LTCH,Respiratory,COVID-19,NA,2023-10-19,2023-12-06,N
356,The Jewish Home for the Aged - Apotex 2EI,3560 Bathurst St,LTCH,Respiratory,COVID-19,NA,2023-10-19,2023-10-30,N
357,West Park Healthcare Centre - 3WE,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-10-19,2023-10-26,N
358,Copernicus Lodge,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,NA,2023-10-18,2023-11-06,N
359,Fairfield Residence - 2nd Fl,10 Fairfield Ave,Retirement Home,Respiratory,COVID-19,NA,2023-10-18,2023-10-27,N
360,Parkland on Eglinton West - 2nd Fl,4650 Eglinton Ave West,LTCH,Respiratory,COVID-19,NA,2023-10-18,2023-10-25,N
361,Unity Health Toronto - Providence - B4,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,NA,2023-10-18,2023-10-30,N
362,Belmont House - 2E,55 Belmont St,LTCH,Respiratory,Rhinovirus,NA,2023-10-17,2023-10-28,N
363,Centennial Park Place - 1st Fl,25 Centennial Park Rd,Retirement Home,Respiratory,COVID-19,NA,2023-10-17,2023-10-26,N
